GENE,n
HNRNPK,39
IGF1R,39
KIZ,39
LOX,39
MAX,39
MYH11,39
MYO3A,39
NBEA,39
PEX26,39
PNPT1,39
RAB27A,39
SERPINF1,39
SF3B4,39
SYNJ1,39
UROD,39
ZBTB18,39
ZBTB24,39
AARS2,38
AGK,38
AP4M1,38
B3GALNT2,38
BCL11B,38
BRWD3,38
CEP135,38
CFAP410,38
CHAMP1,38
CLCN4,38
CYP2U1,38
DHTKD1,38
DNAAF11,38
ECHS1,38
EPCAM,38
FERMT1,38
FOXRED1,38
GJA1,38
IFT74,38
LPIN1,38
NDUFV1,38
NMNAT1,38
PJVK,38
PLCE1,38
PTPN23,38
SHOX,38
SLC2A10,38
UMOD,38
WDFY3,38
C3,37
CANT1,37
CEP83,37
CHST3,37
COL10A1,37
DNAAF3,37
DYM,37
HYAL1,37
KCNA2,37
KCNJ11,37
LARS2,37
LHCGR,37
MED12,37
MED13,37
MOCS2,37
NLRP3,37
NYX,37
PBX1,37
PIGQ,37
POLR3B,37
PORCN,37
PUS1,37
ROR2,37
RORB,37
SERAC1,37
UBR1,37
ACE,36
AP5Z1,36
ARFGEF1,36
CNKSR2,36
CSF3R,36
CUL4B,36
DNM1,36
FARS2,36
FBXO11,36
KMT5B,36
MNX1,36
MTMR2,36
PGM1,36
PPM1D,36
RBCK1,36
SCO2,36
SETD1A,36
SLC35A2,36
SOS1,36
SPEG,36
TBX4,36
TSPAN12,36
TTC8,36
ZC4H2,36
ACP5,35
AFG3L2,35
ALDH18A1,35
CACNA1B,35
CDAN1,35
CLPB,35
DCAF17,35
DIAPH1,35
DNAJC21,35
DONSON,35
ERF,35
ETFA,35
FOXP3,35
GPR179,35
GTPBP3,35
ITGA6,35
NBEAL2,35
NOG,35
NR3C2,35
NSUN2,35
RPL11,35
SLC24A1,35
STX1B,35
TRPM6,35
ABHD12,34
AMER1,34
C8B,34
CDH3,34
CNNM4,34
CTSD,34
DCC,34
ECEL1,34
EXOSC3,34
FLT4,34
FUS,34
GATA6,34
GMPPB,34
GSS,34
MC4R,34
MEGF10,34
NHLRC1,34
OBSL1,34
PHF6,34
PHYH,34
POLR1C,34
RBM20,34
RNASEH2B,34
RUSC2,34
SLC13A5,34
SLC29A3,34
TAOK1,34
TERC,34
THAP1,34
TNNT2,34
VLDLR,34
VPS33B,34
AEBP1,33
AMN,33
ETV6,33
FANCF,33
HMGCS2,33
KRT10,33
MYH9,33
NFIA,33
OBSCN,33
PEX13,33
PINK1,33
POC1B,33
PRG4,33
RBP3,33
RELA,33
RFX5,33
SCLT1,33
SLC35A3,33
TBR1,33
TBX20,33
TMC6,33
TMEM231,33
ZMPSTE24,33
AP3B2,32
DSG1,32
FGA,32
FRRS1L,32
GALE,32
HFE,32
IFT81,32
KCNQ3,32
KRT1,32
LCT,32
MYRF,32
PHF21A,32
PLS3,32
PNPLA2,32
RIT1,32
ROGDI,32
TRDN,32
VSX2,32
ALAS2,31
ARHGEF9,31
ARL6,31
C5,31
CC2D1A,31
CCDC88A,31
CHRNA1,31
CXCR4,31
CYP11A1,31
DCHS1,31
DNAAF4,31
DNM1L,31
HRAS,31
IHH,31
L2HGDH,31
LDB3,31
MAPT,31
MAT1A,31
NPC2,31
PAPSS2,31
PGAP3,31
PPP3CA,31
RERE,31
RMND1,31
SCN1B,31
SEC63,31
SH2D1A,31
SLC12A5,31
SRY,31
ZIC2,31
ZIC3,31
ARSG,30
ATP2B2,30
CIC,30
CPOX,30
CRB2,30
FYCO1,30
GBA2,30
KLHL40,30
LMBRD1,30
POU1F1,30
RAF1,30
SLC27A4,30
SLC52A2,30
SOX11,30
SP110,30
TANGO2,30
TMEM107,30
BMP1,29
CCNO,29
CHKB,29
CHST14,29
CHST6,29
CWC27,29
EIF2B1,29
F13A1,29
GATA4,29
GNPAT,29
HOXD13,29
HSPB1,29
IRAK4,29
KIAA0753,29
KIDINS220,29
LPIN2,29
MAN1B1,29
MAP2K1,29
MICU1,29
NIPAL4,29
PNPO,29
PYCR1,29
SMC3,29
STAT2,29
SYNE4,29
TAT,29
TCTN1,29
TUBGCP4,29
APTX,28
ARMC9,28
ATF6,28
B4GALNT1,28
C1S,28
CENPF,28
DNAAF5,28
DNMT3B,28
GHRHR,28
GLMN,28
GNRHR,28
GYS1,28
IFIH1,28
KCNA1,28
KLHL7,28
PEX16,28
PGAP1,28
PHKA1,28
PRDM5,28
PTPRQ,28
SPTBN2,28
TEK,28
TNFRSF13B,28
TRAPPC2,28
ALG12,27
ALG8,27
APOA1,27
BSND,27
CLDN16,27
CNTN2,27
CNTNAP1,27
COL5A2,27
COQ4,27
EFEMP2,27
FAN1,27
GFPT1,27
H1-4,27
IBA57,27
IFNGR1,27
INF2,27
KCNQ4,27
KLHL41,27
LAMB1,27
LARGE1,27
MAGT1,27
MAP1B,27
PNPLA1,27
SDHAF2,27
SEC24D,27
SGCD,27
SLC34A1,27
TMEM237,27
WDPCP,27
ZNF142,27
ADCY5,26
AMHR2,26
CEP63,26
CHRND,26
CLCN2,26
COQ8B,26
CYB5R3,26
EIF2B2,26
EXOSC9,26
FTL,26
GPAA1,26
HERC1,26
HPD,26
JUP,26
NAGA,26
PNP,26
RNF168,26
RTN4IP1,26
SIL1,26
SMARCC2,26
TAP1,26
TMEM70,26
TRAF3IP1,26
VDR,26
WNT1,26
ACTA2,25
ACTG2,25
AGBL5,25
AVP,25
CEP104,25
ECM1,25
FANCB,25
HR,25
IARS1,25
ILDR1,25
INPPL1,25
KDM3B,25
LRAT,25
MOGS,25
MSX1,25
MTOR,25
NR4A2,25
PIGA,25
PLK4,25
PRKCSH,25
RINT1,25
RPS26,25
SCNN1B,25
SET,25
SLC40A1,25
SPTBN1,25
TFAP2A,25
TMEM216,25
TMPRSS6,25
TRIP4,25
TUBB3,25
UBA5,25
UROS,25
VCP,25
ZAP70,25
ZMIZ1,25
ACTG1,24
AMPD2,24
COX15,24
DDHD1,24
DNHD1,24
F2,24
GABRB2,24
GNAT2,24
GP1BA,24
GYG1,24
HTRA1,24
LBR,24
MARVELD2,24
MTFMT,24
